Frigo,Week,Data,P1,P2,P3,P4,W,PW
61,4,,,,,,defava,Jirachi
62,4,,,,,,mule,Registeel
63,4,,,,,,eppol,Lunala
64,4,,,,,,mule,Arceus-Ice
65,4,,,,,,mule,Deoxys-Defense
66,5,,,,,,felaco,Bronzong
67,5,,,,,,mule,Spiritomb
68,5,,,,,,mule,Reuniclus
69,5,,,,,,felaco,Malamar
70,5,,,,,,mule,Araquanid
71,5,,,,,,marviglio,Magmortar
72,5,,,,,,marviglio,Altaria
73,5,,,,,,defava,Blissey
74,5,,,,,,defava,Alomomola
75,5,,,,,,eppol,Pincurchin
76,5,,,,,,mule,Meganium
77,5,,,,,,defava,Snorlax
78,5,,,,,,grimama,Bellossom
79,5,,,,,,defava,Sylveon
80,5,,,,,,eppol,Pincurchin
81,5,,,,,,mule,Regigigas
82,5,,,,,,marviglio,Chesnaught
83,5,,,,,,marviglio,Drifblim
84,5,,,,,,felaco,Skarmory
85,5,,,,,,fraraga,Hydrapple
86,5,,,,,,marviglio,Cobalion
87,6,,,,,,fraraga,Skeledirge
88,6,,,,,,spite,Oranguru
89,6,,,,,,defava,Florges
90,6,,,,,,fraraga,Noivern
91,6,,,,,,marviglio,Carbink
92,6,,,,,,fraraga,Registeel
93,6,,,,,,marviglio,Kingambit
94,6,,,,,,spite,Toxapex
95,6,,,,,,marviglio,Moltres
96,6,,,,,,eppol,Bronzong
97,6,,,,,,defava,Phione
98,6,,,,,,marviglio,Empoleon
99,6,,,,,,defava,Braviary-Hisui
100,6,,,,,,marviglio,Meganium
101,6,,,,,,spite,Orthworm
102,6,,,,,,spite,Okidogi
103,7,,,,,,felaco,Skeledirge
104,7,,,,,,mule,Sawsbuck-Summer
105,7,,,,,,marviglio,Garganacl
106,7,,,,,,mule,Vespiquen
107,7,,,,,,mule,Cresselia
108,7,,,,,,fanelli,Kingambit
109,7,,,,,,mule,Porygon2
110,7,,,,,,mule,Goodra-Hisui
111,7,,,,,,eppol,Florges-Orange
112,7,,,,,,defava,Appletun
113,7,,,,,,spite,Flutter Mane
114,7,,,,,,mule,Probopass
115,8,,,,,,eppol,Appletun
116,8,,,,,,mule,Regirock
117,8,,,,,,mule,Braviary-Hisui
118,8,,,,,,mule,Toedscruel
119,8,,,,,,defava,Clefairy
120,8,,,,,,marviglio,Vespiquen
121,8,,,,,,spite,Umbreon
122,8,,,,,,spite,Lunala
123,8,,,,,,spite,Corviknight
124,8,,,,,,spite,Raging Bolt
125,8,,,,,,defava,Lurantis
126,8,,,,,,mule,Dondozo
127,8,,,,,,marviglio,Drifblim
128,8,,,,,,fraraga,Probopass
129,8,,,,,,defava,Sableye
130,8,,,,,,fraraga,Bronzong
131,8,,,,,,spite,Iron Bundle
132,9,,,,,,defava,Registeel
133,9,,,,,,fraraga,Vileplume
134,9,,,,,,defava,Spiritomb
135,9,,,,,,marviglio,Vikavolt
136,9,,,,,,defava,Falinks
137,9,,,,,,felaco,Duraludon
138,9,,,,,,marviglio,Altaria
139,9,,,,,,mule,Annihilape
140,10,,,,,,spite,Rhydon
141,10,,,,,,mule,Maushold-Four
142,10,,,,,,defava,Rotom-Wash
143,10,,,,,,defava,Meganium
144,10,,,,,,fraraga,Milotic
145,10,,,,,,spite,Camerupt
146,10,,,,,,defava,Weezing
147,10,,,,,,mule,Avalugg
148,10,,,,,,defava,Whimsicott
149,10,,,,,,mule,Necrozma
150,10,,,,,,eppol,Magearna-Original
151,10,,,,,,mule,Gastrodon-East
152,10,,,,,,mule,Suicune
153,10,,,,,,defava,Gouging Fire
154,11,,,,,,marviglio,Coalossal
155,11,,,,,,marviglio,Gliscor
156,11,,,,,,marviglio,Archaludon
157,11,,,,,,mule,Vileplume
158,11,,,,,,fraraga,Regirock
159,11,,,,,,defava,Probopass
160,11,,,,,,mule,Ceruledge
161,11,,,,,,mule,Vileplume
162,11,,,,,,marviglio,Fezandipiti
163,11,,,,,,mule,Lugia
164,11,,,,,,giompy,Ting-Lu
165,11,,,,,,fraraga,Iron Bundle
166,11,,,,,,eppol,Weezing
167,11,,,,,,marviglio,Rabsca
168,11,,,,,,marviglio,Fezandipiti
169,11,,,,,,marviglio,Bronzong
170,11,,,,,,spite,Quaquaval
171,11,,,,,,eppol,Palossand
172,12,,,,,,marviglio,Skarmory
173,12,,,,,,marviglio,Eelektross
174,12,,,,,,marviglio,Florges-Yellow
175,12,,,,,,felaco,Chien-Pao
176,12,,,,,,eppol,Greedent
177,12,,,,,,eppol,Cresselia
178,12,,,,,,spite,Sandy Shocks
179,12,,,,,,spite,Toedscruel
180,12,,,,,,eppol,Corviknight
181,12,,,,,,eppol,Florges-Orange
182,12,,,,,,marviglio,Incineroar
183,12,,,,,,fraraga,Flapple
184,12,,,,,,marviglio,Florges-White
185,12,,,,,,mule,Moltres
186,12,,,,,,defava,Registeel
187,12,,,,,,marviglio,Gogoat
188,12,,,,,,mule,Rotom-Wash
189,12,,,,,,defava,Appletun
190,13,,,,,,marviglio,Cobalion
191,13,,,,,,eppol,Registeel
192,13,,,,,,eppol,Dipplin
193,13,,,,,,mule,Appletun
194,13,,,,,,fraraga,Skarmory
195,13,,,,,,marviglio,Lurantis
196,13,,,,,,marviglio,Drifblim
197,13,,,,,,marviglio,Skeledirge
198,13,,,,,,defava,Kingambit
199,13,,,,,,marviglio,Dipplin
200,14,,,,,,fraraga,Trevenant
201,14,,,,,,defava,Corviknight
202,14,,,,,,marviglio,Milotic
203,14,,,,,,fraraga,Gliscor
204,14,,,,,,defava,Skarmory
205,14,,,,,,defava,Cryogonal
206,14,,,,,,marviglio,Palossand
207,14,,,,,,fraraga,Fezandipiti
208,14,,,,,,mule,Rayquaza
209,14,,,,,,marviglio,Florges
210,14,,,,,,defava,Hippowdon
211,14,,,,,,felaco,Chesnaught
212,14,,,,,,spite,Frosmoth
213,14,,,,,,fraraga,Sableye
214,14,,,,,,defava,Brute Bonnet
215,14,,,,,,felaco,Garganacl
216,15,,,,,,defava,Mewtwo
217,15,,,,,,spite,Dedenne
218,15,,,,,,eppol,Iron Jugulis
219,15,,,,,,eppol,Cryogonal
220,15,,,,,,fraraga,Carbink
221,15,,,,,,mule,Jirachi
222,15,,,,,,marviglio,Clodsire
223,15,,,,,,felaco,Wo-Chien
224,15,,,,,,spite,Sandaconda
225,15,,,,,,spite,Fezandipiti
226,15,,,,,,mule,Corviknight
227,15,,,,,,spite,Appletun
228,16,,,,,,defava,Wo-Chien
229,16,,,,,,mule,Sinistcha
230,16,,,,,,marviglio,Giratina
231,16,,,,,,fanelli,Volcanion
232,16,,,,,,fanelli,Probopass
233,16,,,,,,mule,Lugia
234,16,,,,,,marviglio,Wo-Chien
235,16,,,,,,marviglio,Palossand
236,16,,,,,,defava,Wo-Chien
237,16,,,,,,marviglio,Cresselia
238,16,,,,,,mule,Chimecho
239,16,,,,,,fraraga,Altaria
240,16,,,,,,mule,Bronzong
241,16,,,,,,mule,Zarude
242,17,,,,,,mule,Pincurchin
243,17,,,,,,spite,Ceruledge
244,17,,,,,,fraraga,Porygon2
245,17,,,,,,spite,Rhyperior
246,17,,,,,,marviglio,Cobalion
247,17,,,,,,defava,Arceus-Dragon
248,17,,,,,,marviglio,Regigigas
249,17,,,,,,spite,Ho-Oh
250,17,,,,,,mule,Oinkologne
251,17,,,,,,spite,Landorus
252,17,,,,,,defava,Vaporeon
253,17,,,,,,felaco,Masquerain
254,17,,,,,,spite,Gastrodon
255,17,,,,,,fraraga,Bronzong
256,17,,,,,,marviglio,Snorlax
257,17,,,,,,spite,Goodra
258,17,,,,,,marviglio,Bellibolt
259,17,,,,,,defava,Drifblim
260,17,,,,,,eppol,Clefairy
261,17,,,,,,marviglio,Exeggutor
262,17,,,,,,felaco,Bellossom
263,18,,,,,,felaco,Toxapex
264,18,,,,,,mule,Oricorio
265,18,,,,,,marviglio,Kyogre
266,18,,,,,,felaco,Latias
267,18,,,,,,marviglio,Orthworm
268,18,,,,,,marviglio,Eternatus
269,18,,,,,,defava,Probopass
270,18,,,,,,felaco,Dipplin
271,18,,,,,,spite,Scizor
272,18,,,,,,felaco,Ho-Oh
273,18,,,,,,mule,Milotic
274,18,,,,,,defava,Suicune
275,18,,,,,,spite,Vivillon-Marine
276,18,,,,,,grimama,Iron Leaves
277,18,,,,,,grimama,Jumpluff
278,18,,,,,,spite,Muk-Alola
279,18,,,,,,felaco,Corviknight
280,19,,,,,,felaco,Rayquaza
281,19,,,,,,spite,Hydreigon
282,19,,,,,,defava,Conkeldurr
283,19,,,,,,defava,Skarmory
284,19,,,,,,spite,Clefable
285,19,,,,,,grimama,Corviknight
286,19,,,,,,remokon,Milotic
287,19,,,,,,spite,Chandelure
288,19,,,,,,mule,Lanturn
289,19,,,,,,defava,Mandibuzz
290,19,05/06/24,,,,,marviglio,Vespiquen
291,19,06/06/24,defava,mule,fraraga,marviglio,defava,Registeel
292,19,06/06/24,defava,mule,felaco,marviglio,defava,Regirock
293,19,06/06/24,mule,spite,felaco,marviglio,mule,Cobalion
294,19,06/06/24,mule,marviglio,felaco,eppol,marviglio,Enamorus-Therian
295,19,06/06/24,mule,marviglio,fraraga,eppol,mule,Arceus-Ice
296,19,06/06/24,mule,felaco,defava,eppol,mule,Duraludon
297,19,06/06/24,marviglio,defava,spite,fanelli,defava,Suicune
298,19,06/06/24,marviglio,mule,defava,fraraga,mule,Wo-Chien
